indice,Date,Time,QLF5,PLF5
432,9/14/2023,14 09 2023 07:11:00,358.00,14.40
433,9/14/2023,14 09 2023 07:12:00,358.00,14.40
434,9/14/2023,14 09 2023 07:13:00,78.00,14.60
435,9/14/2023,14 09 2023 07:14:00,78.00,14.60
436,9/14/2023,14 09 2023 07:15:00,78.00,14.60
437,9/14/2023,14 09 2023 07:16:00,92.00,14.40
438,9/14/2023,14 09 2023 07:17:00,96.00,14.30
439,9/14/2023,14 09 2023 07:18:00,118.00,14.60
440,9/14/2023,14 09 2023 07:19:00,118.00,14.60
441,9/14/2023,14 09 2023 07:20:00,118.00,14.70
442,9/14/2023,14 09 2023 07:21:00,118.00,14.60
443,9/14/2023,14 09 2023 07:22:00,118.00,14.50
444,9/14/2023,14 09 2023 07:23:00,118.00,14.40
445,9/14/2023,14 09 2023 07:24:00,118.00,14.40
446,9/14/2023,14 09 2023 07:25:00,118.00,13.90
447,9/14/2023,14 09 2023 07:26:00,118.00,13.80
448,9/14/2023,14 09 2023 07:27:00,118.00,14.40
449,9/14/2023,14 09 2023 07:28:00,118.00,14.60
450,9/14/2023,14 09 2023 07:29:00,118.00,14.60
451,9/14/2023,14 09 2023 07:30:00,38.00,14.60
452,9/14/2023,14 09 2023 07:31:00,38.00,14.30
453,9/14/2023,14 09 2023 07:32:00,38.00,14.20
454,9/14/2023,14 09 2023 07:33:00,38.00,14.50
455,9/14/2023,14 09 2023 07:34:00,18.00,14.50
456,9/14/2023,14 09 2023 07:35:00,18.00,14.50
457,9/14/2023,14 09 2023 07:36:00,18.00,14.70
458,9/14/2023,14 09 2023 07:37:00,18.00,14.70
459,9/14/2023,14 09 2023 07:38:00,18.00,14.70
460,9/14/2023,14 09 2023 07:39:00,18.00,14.80
